publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-07T01:17:16Z,Nunung Roniah,Presiden 1gk ad noda korupsi korupsinya banyak gimana jdi presiden .presiden itu yg berpendidikan tinggi .dri muda dh cerdas dh berpretasi.di kenal sama dunia berbahasa inggris oke .GK planga plongo.sesama beragama saling menghormati .jdi gubenur rakytnya sejahtera pembangunannya maju.tu Mash ad awal korupsi yaaa,0
2023-05-07T01:15:37Z,Udin Lumban Raja,Ganjar P,0
2023-05-07T01:13:00Z,Antoso Djoko,Si rambut putih selalu diatas sambil leyej leyeh nonton film bokep (penderita sosiopath),0
2023-05-07T01:11:00Z,ayufri,kok bisa dia yg teratas,0
2023-05-07T00:56:58Z,Hadi Salim,"Great news, yg penting asal bukan yaman ayat mayat.",0
2023-05-06T22:16:24Z,A,Bisa 85% jika Pak Ganjar bersanding dengan Deni Siregar atau Ade armando sbg Cawapresnya.👍👍👍🇮🇩🇮🇩🇮🇩,1
2023-05-07T15:25:49Z,Mustaqien Mustaqien,Amin,0
2023-05-07T12:31:49Z,Rdn Nids,Bisa 89% bila Pak Anies bersanding dengan Sugik nur sbg cawapresnya 😃😃😃,1
2023-05-06T21:01:33Z,Su Marman,Bohong terus dasar kena Azab dosa besar,0
2023-05-06T20:59:15Z,Garam dapur,Tidak menjamin hasil survey akan menentukan hasil akhir,0
2023-05-06T19:09:12Z,Kucang Lada,Cuan cuan lembaga survey,0
2023-05-06T17:33:03Z,Infomase,Survey merusak tatanan demokrasi,0
2023-05-06T17:23:42Z,Nagan Channel,POLITIK,0
2023-05-06T16:29:28Z,Wahyu O'connor Motovlog,GAS POLL ( GANJAR ALWAYS POKOKNYA LUR ) 😎😎😎😎,0
2023-05-06T16:01:10Z,Wahyu Bima,Survey ame pooling ki podo rak? Kok kebalikannya hslnya,0
2023-05-06T15:58:19Z,Awaludin paty Awal,Pak Ganjar adalah kita 👍👍,0
2023-05-06T15:57:06Z,Hendra Chandra,Survei mah permainan lembaga aja siapa yg paling kuat bayar mereka untuk jualan atau endorse.. media jg sama siapa yg kuat uangnya itu yg di viralkan terus 😂😂<br>Kami sudah tidak mau tertipu lagi mau survei apapun itu,0
2023-05-06T15:45:03Z,septi ana,Mugo&quot;pak ganjar dadi presiden 2024 amin ya robbal alamin,0
2023-05-06T14:45:08Z,Pakde War,Pak Ganjar Pranowo memperoleh suara 63% lebih,1
2023-05-06T14:43:34Z,Pakde War,WASPADALAH  jurus ayat mayat akan tampil kembali. Jangan sampai kenak tipu muslihat dengan berbagai cara dusta,1
2023-05-06T14:38:31Z,Ridwan Sbg,Gimana Ganjar ndak teratas terus... <br>Kami para pecinta Bokep ya dukung Ganjar krn satu hoby... <br>Bokep semakin terdepan... 😅😅😅😅😅😅,0
2023-05-06T14:29:27Z,Monyeng Icha,Pendukung wan abud ketar ketir,0
2023-05-06T14:15:31Z,Nurmala Nur,Tenggelamkan calon rezim ini Sngt berbahaya bgi banggsa n negara.calon rezim pemecah belah vmmt,0
2023-05-06T14:09:40Z,AdiMulkanny,Media jangan di percaya kata prabowo,0
2023-05-06T13:56:29Z,airlangga jaya wardana,Anies ya...,0
2023-05-06T13:55:55Z,airlangga jaya wardana,Anies... Yg terbaik untuk jdi presiden R1,0
2023-05-06T13:55:22Z,airlangga jaya wardana,Anies yg santun,0
2023-05-06T13:55:12Z,airlangga jaya wardana,Anies yg pintar,0
2023-05-06T13:55:00Z,airlangga jaya wardana,Anies yg bersih,0
